State,VarroaMites_Percent,Other_Pests_Parasites_Percent,Diseases_Percent,Pesticides_Percent,Other_Percent,Unknown_Percent
Alabama,46.7,26.7,0.6,4.9,9,11.3
Arizona,53.9,1.5,0.4,23.3,4,2.9
Arkansas,47.7,39.7,1.4,7.8,12.5,32.8
California,40.5,10.9,5.2,11.3,8,5
Colorado,67.7,1.5,,15.3,2.6,0.8
Connecticut,22.2,11.1,2.4,,1.7,1.6
Florida,43.5,25.6,7.8,11.7,7.8,4.8
Georgia,34.3,18.2,5.6,9.1,2.6,4.4
Hawaii,44,61.8,0.2,1,0.1,
Idaho,20.3,4.3,5.4,10.5,9.9,1.1
Illinois,28.9,27.3,1.1,3.4,8.9,8.9
Indiana,20.7,15,2.6,6.7,1.6,0.6
Iowa,61,17.8,5.6,25.2,19.7,4.2
Kansas,65.8,15,11.9,43.4,0.4,14.4
Kentucky,33,20.1,0.2,5.3,12,9.9
Louisiana,33,18.5,3.5,0.7,6.1,0.9
Maine,20.5,,0.1,2.5,0.3,0.2
Maryland,12.6,4.5,1.8,,0.3,5
Massachusetts,7.6,0.2,0.8,,1.1,10.7
Michigan,37,9.7,9.2,8.3,1.1,3.8
Minnesota,37.3,7.8,1.2,6.1,1.8,4
Mississippi,41,38,4.1,13.9,10.5,5.2
Missouri,19.2,5.9,0.2,0.1,1.5,0.4
Montana,15.7,1.8,,0.8,2.8,0.3
Nebraska,5.8,1,,3.5,2.8,6.4
New Jersey,2.5,0.9,,,1.3,0.5
New Mexico,5.2,0.3,0.4,,2.6,
New York,33.3,24.8,3,8.7,3.2,4
North Carolina,44.5,21,4.5,2.4,15.7,11.7
North Dakota,43,7.1,1.8,3.7,2,1.7
Ohio,33.2,5.6,0.4,0.6,3.3,7.6
Oklahoma,1,0.4,,0.4,0.4,0.1
Oregon,35.8,2.1,4.7,1.8,16.6,16
Pennsylvania,33.2,4.6,1,3.2,2.3,2.9
South Carolina,56.7,18.4,1.7,3.5,13.1,6.3
South Dakota,12.2,6.1,3.2,5.6,11.2,1.5
Tennessee,66.6,53.5,,33.6,7.6,9.1
Texas,23.1,14,4.6,4.9,5.8,1.4
Utah,22.1,2,2,10.3,0.2,0.3
Vermont,21,1.3,0.6,0.8,0.6,0.9
Virginia,37.7,18.6,0.4,,5.3,6
Washington,40.3,2.3,0.6,19.6,2.9,3.2
West Virginia,65.8,10.7,1.1,0.4,6.1,2.2
Wisconsin,40,22.1,14.8,14.1,22,7.3
Wyoming,27.6,12.3,3.2,,4.3,13.2
Other States 4/,13.6,2.3,0.3,0.3,32.4,0.9
United States,45.7,15,5.4,10.9,8.6,5.3
