State,VarroaMites_Percent,Other_Pests_Parasites_Percent,Diseases_Percent,Pesticides_Percent,Other_Percent,Unknown_Percent
Alabama,69.5,22.1,,35.4,7.5,3.9
Arizona,19.8,0.4,0.5,1.1,12.4,6.3
Arkansas,61.4,9.1,,17,9.3,2.3
California,42.3,15.8,5.6,13.4,10.1,3.6
Colorado,52.9,1.4,2.6,9.1,7.8,1.4
Connecticut,25.1,1.5,0.1,,13,
Florida,42.9,13.2,3.7,6.3,11.4,21.5
Georgia,47.6,18,2.3,14.1,15.1,6.9
Hawaii,2.8,4.3,0.3,,2,
Idaho,53.7,19.1,6.7,15.5,9.5,5.1
Illinois,29.9,14.2,2.8,2.8,4.6,3.3
Indiana,13.9,5.9,0.4,3.9,3.8,2
Iowa,17.2,7.2,2.4,3.9,4,2.2
Kansas,65.4,52.6,14.8,20.3,1.1,7.4
Kentucky,46.4,39.2,4.6,0.6,10.3,6.2
Louisiana,59.2,74.5,0.3,1.6,4,14.9
Maine,3.4,0.9,0.9,3.9,1.2,0.1
Maryland,8.8,10.1,0.7,1.6,5.1,9.1
Massachusetts,82,0.9,0.7,2.3,0.8,0.1
Michigan,56.8,11.9,8.6,13.7,15,2.9
Minnesota,39.8,4.7,1.8,9.4,11.6,2.3
Mississippi,71.1,4.8,0.7,0.2,18.1,0.7
Missouri,77.7,36,2.8,34,1.6,35
Montana,42.3,6.7,6.9,2.2,19.1,2
Nebraska,15.1,6.6,0.4,7.1,9.2,0.2
New Jersey,10.7,2.9,,0.8,0.4,1.9
New Mexico,74.3,3.3,17.8,13.6,3.1,0.3
New York,45.1,19.8,6.2,9.4,13.6,1.8
North Carolina,74.5,36.1,3.3,20.3,7.6,1.8
North Dakota,42,11.9,3.4,8.1,8.1,1.9
Ohio,51.5,19.1,4.7,6.7,11.7,7
Oklahoma,22,23,10,3.8,4.7,2
Oregon,54.4,10.6,11.3,13.2,6.4,1.8
Pennsylvania,41.4,5.7,2.7,3.7,2.2,0.9
South Carolina,26.4,11.8,0.2,3,5.2,0.8
South Dakota,47.4,13.4,5,10.1,27,2.5
Tennessee,42.8,22.1,2.1,6,5.3,6.9
Texas,33.7,23,0.1,24,18.3,1.5
Utah,40.5,0.1,0.5,16.7,15.9,9.1
Vermont,16.8,9,4.7,,7,0.7
Virginia,50.3,26.5,1.5,0.5,4.4,1.6
Washington,23.7,2.7,2,1.2,0.7,2.4
West Virginia,23.2,6.2,1.4,0.6,9.5,3.8
Wisconsin,61.6,21,18.5,21.8,13,12.1
Wyoming,21.8,1.6,9.3,4.4,5.6,5.2
Other States 4/,51.1,4.7,2.3,6.7,1.2,1.3
United States,45.5,15,4.8,10.9,11.6,4.9
