State,VarroaMites_Percent,Other_Pests_Parasites_Percent,Diseases_Percent,Pesticides_Percent,Other_Percent,Unknown_Percent
Alabama,77.5,69.4,0.7,14.6,7.8,6.8
Arizona,52.5,2.3,4.5,3.8,15,27.6
Arkansas,29.9,7.8,0.1,17.6,0.5,0.6
California,57.3,6.6,4.5,17.8,12,3.6
Colorado,72.6,16.6,5.6,2.9,8.5,4.5
Connecticut,13,,,1.4,2.5,1.2
Florida,35,20.5,4.2,7.6,14.3,9.8
Georgia,49.8,20.4,2.4,27.7,6,7.2
Hawaii,88.3,89.4,0.1,0.1,0.1,
Idaho,83.6,5.4,14.6,26.5,13.8,5.7
Illinois,21.2,10.6,2.1,5.1,1.5,7
Indiana,29.5,12.2,1.4,20.6,5,0.5
Iowa,29.9,9.8,8.5,0.4,1.9,0.4
Kansas,76.8,51.1,6.6,8,23.7,7.9
Kentucky,47.1,26.5,1.6,1.5,4.5,7.6
Louisiana,31.3,29.9,0.2,1.7,1,1.6
Maine,37,1,1.1,,3.5,0.5
Maryland,11.7,6,0.3,0.6,1.1,3.8
Massachusetts,75.9,11.2,10.7,10.1,1.1,10.3
Michigan,92.4,13.8,1.1,23.8,19.5,18.6
Minnesota,44.5,12.4,6,28.4,9.3,8.1
Mississippi,25.2,8.6,,0.5,7.5,7.2
Missouri,18.2,16.9,1.2,1.2,7.5,1.1
Montana,43.8,18.5,18,6.8,21.8,2.7
Nebraska,24.1,3.2,5.9,6.5,4.3,4
New Jersey,12.3,5.1,0.2,0.1,1,0.4
New Mexico,,,,12.3,0.4,0.2
New York,40.7,20.6,18.6,24.4,22.9,10.2
North Carolina,66,17.9,11.4,8.4,11.4,3.1
North Dakota,52.6,11.5,9.6,10.4,10.9,1.2
Ohio,58.9,40.9,2.6,1.3,11.9,1.2
Oklahoma,59.6,51.1,0.1,23.5,17.2,23.4
Oregon,57.2,2.8,7,45.1,10.7,0.8
Pennsylvania,23.5,8.1,1.9,1.6,1.7,2.6
South Carolina,76.8,53.4,0.7,32.4,7.6,0.9
South Dakota,54.7,32.9,3.3,8.5,45,1.6
Tennessee,70.6,53.2,0.7,13.2,5.6,2.1
Texas,18.8,4.4,0.4,6.2,2.8,0.9
Utah,34,15.5,0.1,0.2,1,0.7
Vermont,29.3,4.9,4.3,24.1,0.3,
Virginia,39,28.5,2.6,7.7,11.6,1.7
Washington,7.1,0.6,0.6,2.7,9.9,2.8
West Virginia,57,52.6,0.3,0.3,6.8,2.1
Wisconsin,54.4,32.7,2.6,19.5,6.1,4.3
Wyoming,35.4,2.8,2.2,9,3.3,4
Other States 4/,22.8,2.4,1.3,2.9,4.9,0.7
United States,53.8,15.2,6.4,15.7,13.9,4.7
