State,VarroaMites_Percent,Other_Pests_Parasites_Percent,Diseases_Percent,Pesticides_Percent,Other_Percent,Unknown_Percent
Alabama,17.9,13.6,,4.2,9.4,5.3
Arizona,57.8,15.6,19.4,12.2,20.1,0.7
Arkansas,24.5,12.2,2.4,4.9,3.4,3.1
California,36.1,7.5,2.9,12.4,4.7,3
Colorado,31.6,0.9,5.3,3.2,4.7,0.1
Connecticut,9.7,0.2,,0.5,2,0.7
Florida,36.3,14.3,6.1,9,6.4,18.6
Georgia,33,5.6,1,6.7,6.3,2.8
Hawaii,89.5,3.5,,,0.4,
Idaho,31.2,7.4,3.9,8.2,7.7,4.7
Illinois,11,4.2,0.7,2.9,5.5,1.4
Indiana,5.9,2.3,0.1,32.1,8.6,1.3
Iowa,39.4,27.7,7.6,26.7,8.2,0.9
Kansas,19.7,9.6,0.7,22.2,1.8,7.8
Kentucky,28.5,12.9,1.1,5,4.8,2.1
Louisiana,26.2,3.5,,2.1,1.6,0.7
Maine,3.6,3.6,3.4,3.6,1.6,14.2
Maryland,3.3,6.9,0.7,0.2,2,1
Massachusetts,13.8,11.4,11.8,9.9,0.4,1.6
Michigan,24.4,9.8,0.2,1.7,1,0.6
Minnesota,21.4,4.7,2.4,13.3,6.6,2.2
Mississippi,14.4,0.6,,1.3,2.9,0.5
Missouri,13.8,8.7,3,1,5.1,1.8
Montana,24.3,3.8,4.2,3.3,4.4,0.6
Nebraska,73.8,67.2,0.7,66.6,8.9,0.5
New Jersey,24.1,5.4,2.3,1.9,0.3,0.7
New Mexico,88.4,0.6,72.9,,35.6,0.6
New York,21.7,2.2,2.2,2.1,9.1,0.1
North Carolina,23.4,5.5,2.3,0.8,5.1,1.5
North Dakota,27.9,3.6,2.8,5.4,3,0.4
Ohio,45.6,6.4,6.2,10.5,16.8,3
Oklahoma,23,1.6,11.1,0.3,7.6,0.2
Oregon,32.7,9,10.2,3.6,14.8,9.6
Pennsylvania,13.9,1,0.8,1.4,2.4,1.6
South Carolina,23.9,21.3,14.7,17.9,4.1,0.3
South Dakota,20.9,1.4,1.3,9.7,6.2,3.6
Tennessee,47.4,24.9,1,3.1,10.4,3.9
Texas,28.8,16.6,1.5,12.5,2.9,1.1
Utah,32.2,1.1,0.2,0.1,10.9,
Vermont,3.3,0.3,0.3,,0.2,0.5
Virginia,19.8,19.1,1,5.3,1.9,4.8
Washington,19.5,4.7,3.6,6.7,3.1,0.4
West Virginia,11.5,1.5,1.7,0.4,3.6,1.6
Wisconsin,13.7,1.6,1.7,2.1,2.5,0.3
Wyoming,37.8,3.3,11.6,2.6,7.4,2.1
Other States 4/,6.8,0.4,0.3,,4,0.6
United States,41.6,11.7,4.3,12.9,6.6,4.4
