State,VarroaMites_Percent,Other_Pests_Parasites_Percent,Diseases_Percent,Pesticides_Percent,Other_Percent,Unknown_Percent
Alabama,12.3,9.9,0.2,2.4,6.7,3.3
Arizona,98.8,15.5,2.3,6.5,4.3,3.2
Arkansas,21.1,4.8,,1.3,1.1,3.3
California,41.9,13.7,8,9.1,9.6,3.5
Colorado,32.4,1.3,0.1,3.1,13,0.1
Connecticut,14.7,6.6,1.1,1,5.8,3.2
Florida,30.9,27.1,7.7,17,13.6,6.5
Georgia,43.6,8.6,3.7,7.6,4.1,2.5
Hawaii,39.9,40.8,,0.1,0.2,0.1
Idaho,31.9,0.8,4.8,0.2,4.2,3
Illinois,27.8,11.7,1.2,5.6,3.9,4.8
Indiana,28.2,9.6,0.2,1.4,1,3.8
Iowa,18.7,9.8,8.9,9,11.4,6.3
Kansas,29.2,8.3,0.3,3.1,5.1,1.4
Kentucky,48.2,22.3,3.3,3,10.3,5.7
Louisiana,2.9,1,1,0.1,0.7,1.2
Maine,10.7,0.8,0.1,,5.8,0.1
Maryland,23.8,8.3,4.5,4.6,5.8,0.6
Massachusetts,6.1,2.6,0.4,0.4,0.7,4.2
Michigan,23.9,1.5,0.1,2.7,4,0.6
Minnesota,27.5,7.7,3.1,17.6,5,8.9
Mississippi,21.9,6,0.1,,2.1,2.8
Missouri,16.1,12.6,0.2,,1.5,0.7
Montana,59.1,39.4,32.9,13.7,33.3,33.1
Nebraska,10.5,1.4,0.2,1.2,0.4,1.5
New Jersey,28.6,11.3,0.4,1.9,3.4,8.6
New Mexico,46.2,0.3,7.2,,0.8,0.3
New York,27.8,2.2,3.6,12.5,2.2,2.1
North Carolina,24,7.7,1.8,,12.5,1.3
North Dakota,23.5,7.9,1.5,0.4,2.6,2.2
Ohio,42,18.1,0.8,4.2,11.2,10.9
Oklahoma,4.9,0.5,,0.1,0.1,0.7
Oregon,25.5,2.8,13,2.8,2.6,1.3
Pennsylvania,18.7,2.6,1,2.8,4.9,3.1
South Carolina,29,27.1,23.3,24.6,25.9,1.9
South Dakota,48.9,5.3,0.3,6,1,0.3
Tennessee,19.9,21.6,,1.1,2.2,3.1
Texas,33.1,17.5,3.2,3.6,2.8,1.4
Utah,26.4,0.1,0.2,0.9,0.7,0.3
Vermont,44.5,41.3,41.2,41,0.4,
Virginia,31.4,19.9,2,,1.8,5.1
Washington,21.4,4.6,3.7,9.1,4.5,0.3
West Virginia,23.8,2.3,1.1,1.1,4.3,2.8
Wisconsin,69.3,12.2,10,10.6,10.6,46.2
Wyoming,32.2,1.6,3.1,5.2,1.1,
Other States 4/,24.1,9.3,9.3,9.6,2.3,1.4
United States,46.6,16.9,8.3,9.4,10.1,6.4
