State,VarroaMites_Percent,Other_Pests_Parasites_Percent,Diseases_Percent,Pesticides_Percent,Other_Percent,Unknown_Percent
Alabama,23.6,25.5,1.2,13.1,11.5,2.1
Arizona,48.8,7.3,33.2,0.8,14.5,3.7
Arkansas,35.5,16,0.9,2.8,11.4,16.6
California,41.9,10.2,11.2,13.8,9.1,5.1
Colorado,42.8,,13.1,3.7,4.3,0.4
Connecticut,11.1,0.9,0.4,0.8,0.8,0.4
Florida,45,27.6,9.7,15.6,10.1,21.1
Georgia,53,25.6,13.9,14.8,31.6,9.6
Hawaii,59.8,64,0.5,,0.2,0.2
Idaho,50.8,4,3.2,18,4,4.1
Illinois,13.8,7.9,6.7,6.6,9.9,2.4
Indiana,78.9,3.5,0.4,4.5,1.3,1.1
Iowa,12.7,9.3,0.9,7.9,8.4,0.3
Kansas,42.8,31.6,1.3,24.9,2.1,1.6
Kentucky,35.4,21.8,0.6,1.1,3.7,6.3
Louisiana,8.1,5.9,0.2,0.8,1.2,1.3
Maine,1.9,1.1,0.2,1.8,0.6,0.1
Maryland,11.8,3.4,0.8,0.3,4.4,0.4
Massachusetts,6.3,1.1,1,1.5,2,2.1
Michigan,65.7,16.7,11,11.6,12.9,10
Minnesota,12.2,8.5,6.7,5.6,7.8,21.7
Mississippi,44.4,24.1,,0.2,5.1,2.1
Missouri,11.8,13.2,0.8,1.5,8.3,2.6
Montana,41.3,4.3,2.8,1.3,1,0.8
Nebraska,3.9,0.4,0.4,3.2,7.5,4
New Jersey,16.5,3.3,,0.1,3.4,0.1
New Mexico,0.3,0.1,0.3,,0.2,1
New York,40.8,20.3,15.4,6,17.3,3.6
North Carolina,9.7,2.6,0.5,2.4,14.6,0.8
North Dakota,24.7,7.5,4.8,4.7,3.9,4.3
Ohio,38.8,30.8,1.7,2.7,21.7,1.6
Oklahoma,60.2,10.9,9.6,26.7,12.4,0.1
Oregon,45.9,3.5,8.1,6.6,15.5,0.2
Pennsylvania,31.3,16.2,2.2,2.1,1.6,1.9
South Carolina,14.3,3.4,0.7,1.6,9.8,2.9
South Dakota,53.3,42.2,7.7,4,39.4,
Tennessee,30,22.9,3,3.4,6.2,2.5
Texas,26,17.4,7.9,4.4,8.3,14.3
Utah,43.5,3.7,2,1.7,1.4,1.9
Vermont,21.8,1.5,0.7,16.7,1.8,0.1
Virginia,23,19,3.2,1.2,23.3,1.5
Washington,55.9,9.4,7.6,7.6,7.1,0.6
West Virginia,13.8,7.5,0.9,2.9,13.6,7.9
Wisconsin,32.8,16.2,17.8,26.6,29.1,0.9
Wyoming,11,0.1,2.4,2.3,2.9,4.2
Other States 4/,19.7,0.9,1,,3.9,0.3
United States,53.4,19,11.4,13,14.4,9.1
