State,VarroaMites_Percent,Other_Pests_Parasites_Percent,Diseases_Percent,Pesticides_Percent,Other_Percent,Unknown_Percent
Alabama,9.6,8.2,0.3,1.7,4.8,5.4
Arizona,26.8,47.5,17.2,12,17.4,3.5
Arkansas,84.9,8.5,5.5,0.1,3.4,1.6
California,49.7,14.1,11.2,14.2,15.3,2.6
Colorado,38.7,0.8,3.3,1.4,2.6,0.3
Connecticut,9.3,0.6,0.5,0.3,4.4,1.2
Florida,48.2,23.3,10,11.6,10.1,2
Georgia,59.3,28.4,2,28.4,11.7,2.7
Hawaii,35.6,38.1,,0.6,3.2,
Idaho,21.2,4.8,2.7,3.1,5.4,2.7
Illinois,11.4,4.4,2,3.1,4.7,2.1
Indiana,12.5,2.9,,2.1,2.8,4.3
Iowa,23.5,17.8,18.7,0.6,6,5.7
Kansas,47.3,11.6,2.8,8.3,3.7,1.8
Kentucky,38.9,36.1,1.7,28.4,16,3.8
Louisiana,20.7,1.1,,0.3,1.2,0.6
Maine,82.7,,4.3,31.1,2.4,27.9
Maryland,4.2,2.3,2.4,2.9,3.3,0.6
Massachusetts,40.5,10.6,0.3,10.6,2.3,11.9
Michigan,54.1,9.3,1.1,16.5,11.8,1.1
Minnesota,20.8,6,6.5,18.2,8.6,7.6
Mississippi,12.3,2.3,1.2,2.7,1.2,0.1
Missouri,17.2,1.6,0.7,0.1,1.6,1.2
Montana,30.3,7.1,4.5,3.9,6.9,0.2
Nebraska,6.1,0.1,1,3.8,1.1,3.5
New Jersey,11.9,0.9,0.2,,0.2,0.3
New Mexico,59.1,0.3,12.1,2.5,8.2,
New York,20.4,3.1,0.9,11.7,4.1,3.8
North Carolina,51.8,23.5,4.7,33.8,8.3,41.7
North Dakota,16.2,3.7,2.1,1.1,3.6,0.2
Ohio,10.6,2.2,0.6,18.3,2.9,1.4
Oklahoma,51.8,2.8,0.2,1.2,0.6,0.4
Oregon,52.7,14.5,9.9,2.6,16.7,6
Pennsylvania,18.7,3.9,2.4,3.6,4.6,0.9
South Carolina,51.3,36.6,1,35.8,14.3,1.3
South Dakota,32.4,6.6,1.7,5.1,15.4,0.1
Tennessee,40.9,22.7,0.1,0.4,9.1,2.6
Texas,26.1,9,7.5,2.4,7.4,3.7
Utah,23,0.1,1.8,7.3,3.4,0.8
Vermont,2.6,0.1,0.1,,0.3,0.1
Virginia,23.1,4.2,6.8,6,7.3,2.9
Washington,40.9,11.4,3.3,3.1,11.1,0.6
West Virginia,20.1,0.8,4.2,,14.7,0.7
Wisconsin,23.4,3.7,12.8,12.6,14.9,10.5
Wyoming,7.1,2.6,1.2,0.6,2.5,0.8
Other States 4/,7.6,0.2,,0.8,0.6,5.4
United States,53.4,16.3,9.5,12.4,12.3,4.1
