State,VarroaMites_Percent,Other_Pests_Parasites_Percent,Diseases_Percent,Pesticides_Percent,Other_Percent,Unknown_Percent
Alabama,12.4,3.4,,0.1,1.7,4.3
Arizona,31.7,0.1,0.1,,10.1,9
Arkansas,31.7,22.7,0.2,2.6,0.4,11.2
California,22.4,6,5,5.3,5.3,4.2
Colorado,20.8,,0.1,0.4,10.8,2.4
Connecticut,11.2,2.9,0.4,,2.8,3
Florida,28,14.2,5.5,5.3,8.7,10.9
Georgia,50.9,3.4,0.2,0.3,0.4,7.5
Hawaii,75.3,60.8,0.1,,0.2,0.2
Idaho,10.4,0.8,0.1,2.8,2.1,1.9
Illinois,17.2,8.9,0.2,,7.3,10
Indiana,8.2,0.5,0.1,2.9,1.9,6.2
Iowa,22.3,1.9,,0.2,5.7,5.5
Kansas,13.3,8.1,7.8,7.8,3.1,11.3
Kentucky,17.4,2.6,2,0.3,7.6,6.5
Louisiana,26.5,7,0.7,1.2,1.4,0.6
Maine,19.6,1.2,0.7,,2.2,3
Maryland,19.9,1.5,0.1,,8.5,2.4
Massachusetts,13.9,0.5,1.8,0.3,4.5,2.2
Michigan,8.1,0.5,0.2,0.2,0.4,0.7
Minnesota,3.5,,,0.2,4.3,0.3
Mississippi,58.6,50.9,0.3,1.8,14.5,3.6
Missouri,8.4,3.4,0.9,1.6,2.1,3.4
Montana,4,,,,0.5,
Nebraska,2.2,0.1,0.1,,0.3,0.8
New Jersey,9.4,2.9,0.5,0.1,3.2,2.3
New Mexico,2.1,,,,0.7,0.2
New York,6.6,2.9,,,1.7,7.7
North Carolina,35.7,7.1,4.8,0.6,1.4,5.1
North Dakota,0.6,,,,3.1,
Ohio,17.6,3.6,1.1,0.1,3,13.4
Oklahoma,11.4,0.6,0.4,0.5,0.4,0.3
Oregon,24.4,10.4,10.8,14.5,1.3,0.3
Pennsylvania,15.5,3.9,2.8,1.8,2.7,3.2
South Carolina,15.5,11.5,9.6,0.3,6.4,5.4
South Dakota,14.7,0.1,,2.1,0.3,0.3
Tennessee,18.9,17.3,1,,4.1,7.8
Texas,12.2,6.8,1.3,3.4,5.2,4.6
Utah,38.9,17.2,17.1,2.3,15.7,22.4
Vermont,9.1,0.8,0.6,0.9,2,3.1
Virginia,17.5,10.6,0.3,0.3,3.8,3.5
Washington,1.7,0.1,0.1,0.5,0.2,0.3
West Virginia,17.3,7,1.3,0.6,2.6,0.3
Wisconsin,9,1.9,0.4,,2.7,3.1
Wyoming,0.2,0.1,0.1,,0.8,1.7
Other States 4/,5.5,,,,0.7,0.4
United States,25.5,8,4.4,5,5.6,5.4
