State,VarroaMites_Percent,Other_Pests_Parasites_Percent,Diseases_Percent,Pesticides_Percent,Other_Percent,Unknown_Percent
Alabama,30.6,24.6,2.9,0.2,9.7,6.4
Arizona,29,9.9,2.7,11.4,13.2,0.6
Arkansas,53.2,19.7,6.8,50.5,6.9,39.3
California,49,11.5,8.7,16,11.1,3.2
Colorado,79.8,12.5,4.8,10.2,9.4,1
Connecticut,24.3,6.9,2.4,,3.9,0.5
Florida,44.9,20.7,6.3,18.2,11.7,10.8
Georgia,52.5,18.6,1.6,25.8,17.1,4.6
Hawaii,37.2,39,0.3,,1.3,0.2
Idaho,59.9,15.4,21.7,9.9,18.5,0.8
Illinois,35.9,8.3,0.7,2.5,5.5,11.5
Indiana,55.7,15.2,3,23.1,19.2,1.4
Iowa,39.4,7.1,5.8,26.3,27.8,3.6
Kansas,67.5,33.8,21.8,23.9,1.2,0.5
Kentucky,29.2,17.6,0.4,5.2,7.9,8.6
Louisiana,67.1,66.8,0.4,57,2.5,2.7
Maine,10.1,0.7,0.1,,0.2,0.1
Maryland,26.7,2.7,,0.3,5.1,1.4
Massachusetts,13,2.9,0.2,,0.7,7.3
Michigan,42.7,16.4,8.7,7.3,2.1,1.5
Minnesota,54.9,8.2,4,13.4,6.6,2.1
Mississippi,59.1,45.6,2.4,25.4,4,5.1
Missouri,18.4,7.1,0.4,0.8,2.1,0.6
Montana,28,10,10.6,6.1,4.1,1
Nebraska,29.2,2.7,1.8,2.8,7.2,1.9
New Jersey,26.1,2.3,0.3,0.2,0.5,0.1
New Mexico,39.5,29.1,0.9,,0.8,
New York,30.7,11.5,1.2,8.2,2.5,3.8
North Carolina,26.9,11.3,19.7,4,9.7,5.7
North Dakota,48.4,10.2,14.7,9,23.7,9.3
Ohio,40.6,23,4.2,1.8,5.9,3.9
Oklahoma,29,1.4,0.1,0.1,4.1,4.4
Oregon,35.4,12.8,19.8,15.1,16.6,0.4
Pennsylvania,23.4,8.8,1.8,5,1.5,5.6
South Carolina,44.9,11.6,0.6,16.2,19.6,3.7
South Dakota,10.4,3.5,0.3,14,4,1.5
Tennessee,51.4,23.3,0.2,9.1,11.5,1.5
Texas,21.9,18.3,4.4,11.5,7.2,2.1
Utah,29.4,4.9,5.5,0.2,0.6,4.6
Vermont,22.2,4.3,0.7,,0.5,0.1
Virginia,37.9,18.3,0.9,1.3,2.7,3.1
Washington,47.3,0.9,2.5,4.6,9.4,0.3
West Virginia,33.7,10.7,0.7,2.7,6.9,0.3
Wisconsin,46.4,20.5,13.9,18.1,6.5,3.9
Wyoming,45.7,0.4,3.3,2.2,6.3,2.5
Other States 4/,11.3,4.5,4.2,7.7,1.4,0.1
United States,44.1,13.4,8.5,13.6,11.9,4.5
