State,VarroaMites_Percent,Other_Pests_Parasites_Percent,Diseases_Percent,Pesticides_Percent,Other_Percent,Unknown_Percent
Alabama,28.5,18,1.6,7.7,7.9,9.5
Arizona,22.1,,,4.2,5.5,0.6
Arkansas,40.5,15.3,5.1,24.6,2.1,12.4
California,33.4,4.7,3.9,5.4,7.5,3
Colorado,35.4,0.1,0.1,,0.5,2.5
Connecticut,14.8,2.1,,,0.1,0.6
Florida,31.4,15.2,3.2,5.5,5.5,7.5
Georgia,49.2,20.2,7.1,3,8.1,13.8
Hawaii,43.1,41.1,1,,1.1,
Idaho,44.2,10.9,11.1,8.6,6.9,5.8
Illinois,23.5,8.2,1,8.3,11.9,4
Indiana,26.8,12.5,1.8,20.2,5.4,1.5
Iowa,30.4,24.6,16.5,0.8,3.5,0.5
Kansas,68.4,34.1,24,32.8,28.9,14.3
Kentucky,18.3,10.9,0.2,1.2,2.9,3.2
Louisiana,23.7,4.7,0.5,0.1,3.5,1.3
Maine,12.1,0.2,6.9,,0.5,
Maryland,12,1.1,0.1,1.1,3.2,0.5
Massachusetts,14.7,2.1,0.3,0.4,1.1,0.4
Michigan,38,11.5,2.2,6,3.2,1.1
Minnesota,20.6,2.9,0.7,8.8,4.4,0.4
Mississippi,51.2,36.8,,0.9,8.4,0.2
Missouri,17.4,1.5,5.7,3.1,11.2,1.9
Montana,12.1,5.6,5.9,,4.6,0.3
Nebraska,15.8,1,4.4,10.9,0.1,2.6
New Jersey,7.2,0.8,22.1,0.1,22.3,0.1
New Mexico,3,0.4,0.3,0.4,0.4,0.1
New York,21.2,2.6,0.6,0.2,3.6,0.6
North Carolina,23,5.5,1.9,,1.8,1.4
North Dakota,25.7,1.7,2.6,3,2.9,1.5
Ohio,23.8,12,6.2,5.8,7.3,13.3
Oklahoma,14.8,3.9,0.4,0.9,18.1,5.1
Oregon,28,1.7,7.5,2.2,5.9,0.7
Pennsylvania,27.3,2.7,1.4,0.3,3.4,1.3
South Carolina,27.4,5.8,0.5,,5.3,0.4
South Dakota,53.4,31.4,4.8,0.4,37.5,5.3
Tennessee,31.2,7.8,0.2,6.8,3.3,3
Texas,30.2,7.7,3.3,4.6,5.7,5.8
Utah,38.4,,0.3,13.1,0.1,7.7
Vermont,10.7,0.5,0.1,,1.1,
Virginia,33.7,7.9,0.3,0.4,7.9,1.1
Washington,10.6,,0.7,1,1.3,0.4
West Virginia,46.2,1.8,0.7,0.5,2.8,1.9
Wisconsin,46.1,27.3,25,25.1,25.8,26.1
Wyoming,28.8,,0.1,1.1,3.5,1.2
Other States 4/,16.8,1.1,0.7,,0.3,0.3
United States,42.3,12.2,5.5,6.1,10.8,5.2
