State,VarroaMites_Percent,Other_Pests_Parasites_Percent,Diseases_Percent,Pesticides_Percent,Other_Percent,Unknown_Percent
Alabama,24.2,22,4.3,8.1,2.4,11.3
Arizona,33.8,2.8,,7.7,6.5,7.2
Arkansas,57.4,6.9,,0.5,1.9,8.1
California,38.1,15.2,9,13.5,8.4,4.4
Colorado,2.9,4.1,0.5,0.2,2.7,0.2
Connecticut,12.3,0.8,0.2,,7.7,1.7
Florida,23.6,5.8,0.4,4.9,1.8,1.4
Georgia,32.3,7.8,2.1,21.4,3.2,3.9
Hawaii,0.3,1.5,,0.1,0.8,
Idaho,31.5,2.3,2.1,5.9,5.4,1.4
Illinois,12.4,6.4,0.3,2.6,4.6,8.6
Indiana,17.4,3.7,0.9,0.3,7.2,5.5
Iowa,52.8,14.4,13.8,2.7,24,4.8
Kansas,30.3,10,0.1,1.1,2.4,5.4
Kentucky,23.6,9,0.7,6.3,12.5,8.4
Louisiana,22.8,14.2,18.6,0.4,12.4,1.9
Maine,3.3,0.4,0.3,,0.8,1.4
Maryland,26.2,0.1,,9.5,6.7,0.7
Massachusetts,10.1,5.2,0.7,,3.1,1.1
Michigan,5.9,0.2,,0.5,1.3,11.3
Minnesota,12.1,7,0.2,11.6,8,14.5
Mississippi,13.8,1.6,,3.2,0.3,14.5
Missouri,20.2,7,0.4,6.2,4.5,7.3
Montana,0.6,,,0.5,0.1,
Nebraska,1.8,0.4,0.1,0.2,0.8,0.6
New Jersey,8,1.1,0.2,0.6,1.7,12
New Mexico,69,0.4,31.5,,1.5,0.3
New York,27.5,5.9,1.5,7.6,9.5,2.6
North Carolina,9.5,2.5,1.9,2.7,4,2.4
North Dakota,2.7,,,,0.1,11.7
Ohio,41.6,4.3,0.2,1.3,10.2,5.3
Oklahoma,4.9,1.2,,0.3,0.9,21
Oregon,20.4,15,5.3,,2.4,0.3
Pennsylvania,44.8,4.3,0.3,3.8,5.5,4.6
South Carolina,10.7,2.3,0.6,2,5.1,4.8
South Dakota,0.2,,,,0.5,0.3
Tennessee,19.7,7.1,0.2,3.7,10.1,10.9
Texas,19.4,9.8,2.3,9.4,3.7,2.5
Utah,26.2,7,0.1,0.4,1.6,0.5
Vermont,1.3,,0.3,,0.5,1.7
Virginia,32.7,7.3,,0.4,5,3.8
Washington,23.3,10.5,1.3,1.7,1.9,5.1
West Virginia,21.9,2.9,1.1,0.6,6.9,6.5
Wisconsin,24.2,1.6,1.1,13.4,10.8,10.4
Wyoming,,0.4,0.2,2.5,0.8,1.3
Other States 4/,5.5,2.3,0.5,2.1,8.6,0.1
United States,34.6,12.6,6.2,10.9,6.9,5.4
