State,VarroaMites_Percent,Other_Pests_Parasites_Percent,Diseases_Percent,Pesticides_Percent,Other_Percent,Unknown_Percent
Alabama,22.3,10.1,8.8,9.5,1.7,5.2
Arizona,61.6,4.2,2.3,1.6,4.1,0.1
Arkansas,37.5,29.2,26.6,31,24.1,0.4
California,47.9,14.1,7.4,17,17.1,6.3
Colorado,30.2,0.7,0.2,20,15.5,5.3
Connecticut,36.4,2.8,,0.6,1.6,1.6
Florida,41.4,16.8,7.5,10.4,7.6,26.2
Georgia,56.8,15.1,12.3,15.3,3.6,4.6
Hawaii,57.2,66.1,0.1,,0.1,
Idaho,34,16.9,17.7,14.9,1.7,0.2
Illinois,28.9,10.2,0.8,7.9,4.9,4.9
Indiana,23.5,5.6,1.7,0.7,3.9,8
Iowa,61,25.5,12.3,32.6,17.9,5.5
Kansas,17.9,7.7,3.3,8.6,0.6,10.2
Kentucky,54.3,24.4,0.5,6.5,5.6,19.1
Louisiana,31.5,26.6,0.3,0.6,2.1,10.4
Maine,24.9,6.2,0.4,,0.6,
Maryland,7.9,3.1,0.2,1.1,1.8,7.8
Massachusetts,13.2,1.2,6.7,2.7,1.5,0.3
Michigan,53.8,13.6,5.3,23.6,1.5,2
Minnesota,62.9,4,4.2,39.8,7.2,3.1
Mississippi,19.3,6.1,1.4,1.5,1.5,4.1
Missouri,16.7,14.2,1,0.1,4.2,1.6
Montana,54.2,4.1,3.1,5.9,5.3,4.1
Nebraska,26.6,3.3,4.1,2.1,4.3,11.5
New Jersey,18.9,6.8,4.4,4.4,3.3,
New Mexico,86.1,0.3,,10.3,10,1
New York,22.3,12.7,8,5.4,0.4,2.6
North Carolina,64.2,16.3,3.9,1.5,11.7,6.7
North Dakota,41.7,16.5,0.2,0.5,0.9,0.3
Ohio,45.3,23.3,7.1,6.4,8.4,2.9
Oklahoma,1,0.5,,,,0.2
Oregon,50.6,23.3,28,14.2,3.9,1.8
Pennsylvania,44.7,5.4,1,6.9,2.9,2.3
South Carolina,31.6,19.4,14.6,0.2,1.9,1.9
South Dakota,17.3,0.1,4.1,4.4,7.5,2.7
Tennessee,22.8,18.9,0.2,2,7.5,15.3
Texas,33.9,21.4,7.1,2.9,3.8,5.2
Utah,24.3,8.9,11,9.2,9.4,19.8
Vermont,96.6,44.5,22.1,55.2,5.7,1.8
Virginia,20.9,20.6,1.3,7.5,6.9,3.9
Washington,21.7,6,,0.3,0.4,0.2
West Virginia,60.1,5.3,2.4,0.1,7.8,3.6
Wisconsin,53.1,36.9,33.1,22.8,15.3,15.2
Wyoming,38,2.4,8.4,5.9,8.1,0.6
Other States 4/,11.5,1.7,3,2.2,1,2.4
United States,55.3,18.9,9.4,15,11.1,7.6
