State,VarroaMites_Percent,Other_Pests_Parasites_Percent,Diseases_Percent,Pesticides_Percent,Other_Percent,Unknown_Percent
Alabama,16.7,42.5,,2.3,3.2,4.1
Arizona,8.4,32.1,0.5,20.1,28.2,0.3
Arkansas,65.9,63.4,7,22.6,27.4,9.3
California,50.9,21.5,7.8,23,14.2,3.1
Colorado,38.6,1.8,4.6,2.8,3.4,6.6
Connecticut,10.2,0.4,1.9,0.8,1,0.7
Florida,44.2,26.4,2.7,17.7,13.6,5.4
Georgia,52.8,17.5,2.9,28.7,11.5,4.1
Hawaii,60.1,61,0.3,0.1,3.2,0.1
Idaho,25.5,6.7,6.5,6,13.7,0.3
Illinois,10.3,3.7,0.2,2.5,2.3,2.4
Indiana,15.4,1.8,7,0.5,4.4,2
Iowa,21.5,5.1,2.9,7.8,2.7,1.9
Kansas,14.4,2.4,0.9,0.1,3.5,4.9
Kentucky,21.7,18.2,5.3,1.8,9.5,2.9
Louisiana,36.4,3.7,0.2,1.1,5,0.5
Maine,72.1,34.5,0.1,34.5,0.5,0.1
Maryland,4.9,1.3,0.2,2.5,1.6,1.5
Massachusetts,66.8,61.7,0.2,61.8,4.4,3.1
Michigan,26.9,13,0.6,9.1,16.4,3.1
Minnesota,25.4,6.2,1.4,16.5,10.1,9.3
Mississippi,10.1,6,0.3,0.1,2.3,1.7
Missouri,5.1,6.2,3.1,1.6,1,7.4
Montana,9,0.9,0.8,5.3,1.6,
Nebraska,6.5,6.9,,1.4,2.1,1.5
New Jersey,52.5,3.6,0.3,26.1,1,2.4
New Mexico,38.8,,15.5,5.9,0.4,2.7
New York,19.1,12.5,4.5,4.4,3.3,1.1
North Carolina,51,14.3,0.3,3.5,5.8,3
North Dakota,15.5,3,0.1,4.3,4.6,0.3
Ohio,15.8,4.1,3,11.9,11.2,29
Oklahoma,66.1,6.3,,0.1,7,1.9
Oregon,39.3,20.9,13.2,16,5.8,0.4
Pennsylvania,11.4,5.8,2.6,1.6,6.7,2.1
South Carolina,29.9,5.4,0.5,1.4,3.7,0.7
South Dakota,9.8,11.1,1.8,2,1.4,1.5
Tennessee,47.8,26.3,1.8,9.8,2.6,3
Texas,19.3,22.9,2.5,6.6,7.4,3
Utah,27.2,10.8,1.5,12.3,5.6,1.2
Vermont,3.7,1.9,0.1,,1.3,0.1
Virginia,26.2,13,1.8,0.2,3,4.5
Washington,48.7,0.2,2.2,2,3.2,0.5
West Virginia,15.6,8.3,0.6,2.7,4.6,4.4
Wisconsin,35.3,5.6,1,8.2,15.2,2.3
Wyoming,19.1,17.9,0.8,3.6,8.3,2.4
Other States 4/,36.3,9.1,,,0.1,
United States,43.4,19.5,4.9,16.6,11.6,3.5
