State,VarroaMites_Percent,Other_Pests_Parasites_Percent,Diseases_Percent,Pesticides_Percent,Other_Percent,Unknown_Percent
Alabama,27.2,22.7,1.8,0.3,3.1,9
Arizona,25.8,7.9,6.5,16.2,8.4,0.2
Arkansas,19.5,1.5,3.3,55.3,0.7,2.9
California,43.5,13.4,6.4,12.3,8.7,5.6
Colorado,11.2,0.3,,,2.5,0.6
Connecticut,10.1,1.3,,,3.6,1.7
Florida,46.9,24.8,5.5,22.9,7.4,5.5
Georgia,69.6,17.8,7.4,9.6,10.6,4.9
Hawaii,72.1,64.9,0.1,0.7,2.9,
Idaho,24.5,8,8,9.2,8.6,
Illinois,33.3,14.7,3.1,0.7,15.5,10.1
Indiana,15.6,8.8,2.6,5.5,7.1,1.7
Iowa,34.8,1.7,0.6,0.3,7.7,3.5
Kansas,102,7.8,2.5,12.2,21.6,4
Kentucky,21.6,12.9,0.1,5.3,10.7,4.6
Louisiana,57.8,1.3,0.1,0.3,1,0.7
Maine,2.3,0.1,,,1.4,0.8
Maryland,12.6,5.1,0.2,,10.1,2.4
Massachusetts,10.3,,,4.3,6.3,0.9
Michigan,18.2,5.8,1.5,0.2,12.2,0.7
Minnesota,1.3,0.2,1.9,,2,0.8
Mississippi,14.6,71,64.8,48.4,1.9,5.5
Missouri,5.4,2.3,1.9,0.5,5.4,3.2
Montana,15.1,,,0.8,0.8,1.1
Nebraska,32.3,1.3,32,0.8,2.2,0.1
New Jersey,15.3,4.4,,,3.5,0.6
New Mexico,3.5,1.1,0.6,,1.4,0.3
New York,10.6,2.5,1.7,1.7,7.7,9
North Carolina,16.4,2,0.2,0.7,2.2,3.4
North Dakota,6.9,,,6.5,0.4,1.3
Ohio,49.3,9.9,11.1,1.1,6.7,3.1
Oklahoma,7.7,0.3,,,,
Oregon,18,0.1,0.2,0.2,2.7,0.5
Pennsylvania,15.3,4.6,3.7,4,7.5,9.5
South Carolina,18.5,14.5,,1.7,12.4,1
South Dakota,0.8,,,2.5,0.8,2.2
Tennessee,62.8,23.6,5.1,0.9,7.7,7.1
Texas,26.1,6.5,5.3,8.3,6.9,3
Utah,22.9,,0.1,,0.3,8.8
Vermont,6.2,0.1,2.4,,0.2,1.2
Virginia,16.6,12.8,0.8,0.3,3.9,9.3
Washington,22.3,0.8,0.6,0.3,0.8,0.2
West Virginia,10.3,3.2,1.1,0.2,5,1.3
Wisconsin,15.9,3.2,0.7,1.1,13.8,5
Wyoming,0.7,,0.1,,0.5,2.3
Other States 4/,6.9,1.8,0.3,,2.1,1.6
United States,45.6,14.8,7.1,13.6,9,5.2
