State,VarroaMites_Percent,Other_Pests_Parasites_Percent,Diseases_Percent,Pesticides_Percent,Other_Percent,Unknown_Percent
Alabama,29.2,30.2,1.9,14.9,8.6,4.5
Arizona,36.3,4.3,4.6,15.3,7.9,4.2
Arkansas,21.1,9.6,1,23,4.6,13.9
California,41.4,11.3,4.8,11.5,8,4.9
Colorado,31.7,0.8,3.8,0.5,13.7,2.4
Connecticut,14.5,0.7,,0.8,7.7,3.5
Florida,31.7,15.3,4.5,9.2,5.5,16
Georgia,39.6,18.7,0.9,14.8,27.1,2.1
Hawaii,74.5,76.8,0.2,,0.1,0.1
Idaho,28.3,5.7,0.8,3.4,3.4,0.4
Illinois,25.7,11.2,3.6,3.5,10.4,10.9
Indiana,33.4,8.3,3,0.5,9.9,3.7
Iowa,5.3,1.1,0.3,0.6,0.6,1.4
Kansas,63,20.3,1,4.3,27.9,9.1
Kentucky,43,29.6,0.9,11,8,5.9
Louisiana,4.9,0.7,0.2,0.7,4.5,1.6
Maine,23.6,0.6,0.2,,5.2,7.4
Maryland,18.2,5.6,4.4,1.5,14.3,3.1
Massachusetts,19.1,1,0.8,0.8,9.3,7.2
Michigan,21.4,3.5,0.7,7.4,12,5.9
Minnesota,2,0.7,1.9,0.6,1.1,1.6
Mississippi,7,4.8,,0.6,2.4,34.4
Missouri,86,77.8,0.3,3.5,26.5,23.9
Montana,28.9,,,26.1,0.1,0.1
Nebraska,4.5,1.6,,2.8,1.7,0.9
New Jersey,14.9,1.9,,0.4,3.8,0.8
New Mexico,42.8,0.5,,1.3,9.4,0.5
New York,25.3,11.9,1.4,1.9,8,6
North Carolina,29.7,10.2,0.3,0.3,13.4,8
North Dakota,1.4,0.1,1.2,,0.9,
Ohio,39.6,10,6.5,3.2,15.8,11.6
Oklahoma,24.1,8.5,3.2,0.1,3.1,2
Oregon,36,0.7,1.2,6.7,3.7,1
Pennsylvania,34.4,5.6,3.3,9.3,5.9,9.9
South Carolina,29.3,15.5,0.7,2.6,13.5,3
South Dakota,4.4,0.1,,,0.5,0.1
Tennessee,29.2,20.4,2.3,3,13.2,19.7
Texas,21.5,10.1,4.8,0.2,1.7,10.3
Utah,18.7,,0.1,,0.1,0.5
Vermont,17,1.2,0.3,0.6,2,0.8
Virginia,26,11.3,0.3,3.9,7.7,16.3
Washington,8.5,0.9,1,1.9,0.4,0.4
West Virginia,15,8,2,3.4,20.8,4.9
Wisconsin,14.1,3.7,1.2,1.5,3.6,3.7
Wyoming,0.9,0.4,0.1,,2.1,1
Other States 4/,22.2,0.5,0.2,,2,1.2
United States,40.8,12.7,4.3,10.3,8.7,7.2
