State,VarroaMites_Percent,Other_Pests_Parasites_Percent,Diseases_Percent,Pesticides_Percent,Other_Percent,Unknown_Percent
Alabama,11.7,42,,3.8,3.2,13.8
Arizona,41.7,1,0.9,13.5,13.4,8.9
Arkansas,80.7,9,0.4,7.9,2.7,0.3
California,42.2,17.8,8.5,18.8,10.4,6.9
Colorado,49.3,22.4,16.8,24.6,10.6,0.1
Connecticut,18.8,1.6,,0.2,5,0.8
Florida,45.1,23.4,2.7,9.9,8.5,1.8
Georgia,30.7,16.4,2.4,12.1,7.6,4.5
Hawaii,67.8,75.3,0.1,0.8,,
Idaho,25.3,4.7,4.5,7.6,6,3.3
Illinois,17.4,7.9,0.7,4.3,2.9,1.6
Indiana,50.4,12.4,1.2,0.6,2.5,1.2
Iowa,32.6,3.4,0.8,16.7,2.4,5.6
Kansas,42.8,25.5,14.1,29.1,4.5,2.6
Kentucky,42.3,25.7,0.9,11.5,7.4,4.5
Louisiana,39.5,26.1,,1.6,9.6,0.7
Maine,9.3,0.1,0.2,,0.6,
Maryland,10.8,4.8,0.1,0.7,0.6,1.6
Massachusetts,14.1,8.7,6.8,0.1,3.4,7.9
Michigan,64.1,25.1,0.3,9.1,6.5,2.7
Minnesota,47.2,14.6,6.2,22.4,17.8,8.9
Mississippi,27.5,3.5,1.6,1.8,5,4.7
Missouri,13.3,7.7,1,0.1,3.1,0.7
Montana,41.9,8.8,7,6.9,6.1,1.4
Nebraska,20.4,1.6,0.1,10.2,1.6,0.1
New Jersey,20.2,7.1,1.2,8.5,1.3,0.3
New Mexico,59.5,55.4,55.2,24.1,1.7,0.7
New York,37.4,9,5.5,5.2,24.7,2.6
North Carolina,27.8,13.4,0.1,2.9,13.4,3
North Dakota,38,11.8,6.3,12.9,9.9,3.1
Ohio,60.6,10.6,2.3,2.9,3.6,3.2
Oklahoma,7.5,6.5,0.3,0.7,1.4,21.8
Oregon,52.9,18.5,12.5,9.6,5.1,1.5
Pennsylvania,27.3,7.7,1.6,4.3,2.8,1.2
South Carolina,20.4,18.8,0.1,2.6,2.6,1.9
South Dakota,48.8,19.5,14.2,22.7,4.6,2.8
Tennessee,22.5,23.1,1.3,2.4,6.2,2
Texas,47.2,11.4,1.7,31.4,3.7,4.1
Utah,32.1,20.2,0.6,21.8,2.5,1.7
Vermont,5.6,8,1.7,,2.4,0.8
Virginia,39.1,24.1,1.1,2.3,5.3,3.6
Washington,65.2,1.4,0.9,19.1,4.3,0.1
West Virginia,41.5,7.1,3.6,0.1,8.1,0.4
Wisconsin,31.5,13.6,10.8,15.8,5.1,11.1
Wyoming,38.6,3.1,0.5,2.6,3.4,0.3
Other States 4/,7.8,1.6,0.5,,2.3,9.8
United States,46.1,15.6,6.7,15.1,9.3,4.5
