State,VarroaMites_Percent,Other_Pests_Parasites_Percent,Diseases_Percent,Pesticides_Percent,Other_Percent,Unknown_Percent
Alabama,20.6,20.5,1.3,1.5,3.4,7.5
Arizona,20.6,8.3,3.1,,7.1,3
Arkansas,82.8,7.1,,73.5,5.3,2.2
California,44.1,16.6,9.8,11.6,9.3,7.1
Colorado,73.2,5.9,1,,6.1,1.2
Connecticut,12.5,3.6,2.3,0.9,4.2,2.3
Florida,46.7,22.4,9,14.1,8,6.7
Georgia,41.4,17.4,9.2,6.9,5.6,7.8
Hawaii,70.5,83.3,,,0.1,
Idaho,64.9,47.4,9.6,15.9,7,4.5
Illinois,27.2,13.1,2.4,2.8,6.9,5.7
Indiana,51.3,21.3,23.8,64.6,35.4,2.3
Iowa,55.1,27.2,8.9,31.6,29.4,5.6
Kansas,62,31.3,26,43.7,1.6,26.4
Kentucky,57.1,41.9,1.2,6.8,5.5,4.3
Louisiana,16.6,6.7,0.3,5.9,1,1.7
Maine,9.3,5.1,,,1.2,0.1
Maryland,16.6,5.3,0.3,1.2,4.9,1.7
Massachusetts,33.2,9.2,8.1,9.4,3.4,5.3
Michigan,52,31.2,15.6,15.1,2.4,6.6
Minnesota,28.4,5.2,4.2,7.9,3.8,2.4
Mississippi,26.5,6.7,0.2,0.5,3,4.5
Missouri,37,10,1.1,2.3,1.9,4.1
Montana,40.7,13,5.6,17.5,2.9,
Nebraska,3,0.7,0.7,0.3,2.9,1
New Jersey,14,3.2,0.1,,5.4,0.3
New Mexico,81.3,0.8,3.7,0.1,8,1.2
New York,26,4.5,7.8,2.4,7.8,0.7
North Carolina,53,10.4,3.8,2,11.1,5.2
North Dakota,29.5,9.4,8.1,10.6,4.3,4.6
Ohio,29.3,5.8,0.1,8.1,2.4,9.9
Oklahoma,13.1,0.4,,,,0.3
Oregon,44.1,4.6,16,14.8,0.9,0.2
Pennsylvania,26.9,10.7,6.7,13,7.8,5.4
South Carolina,32.2,16.1,0.3,1.4,1.3,5.5
South Dakota,12.8,1.3,7,1.6,2.1,2.5
Tennessee,49.8,20.8,1.9,11.4,9.1,5.1
Texas,18.6,18.5,5.5,3,6.2,3.7
Utah,48,9.8,5.5,8,6.5,4.9
Vermont,6.2,1.3,,,0.8,0.7
Virginia,57.1,38.4,12.1,13.1,5.8,2.8
Washington,34.5,0.5,11.7,4.9,3.3,1.3
West Virginia,29.5,15.2,0.6,7.2,4.2,6.8
Wisconsin,29.9,28.3,1.5,24.5,7.6,5.2
Wyoming,43.9,7.9,2.6,6.8,1,1.4
Other States 4/,12.7,0.2,0.2,5.4,1.5,5.4
United States,50.5,20.3,10.4,13.8,8.4,6.5
